case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070807070764,0.0,2.0,63.0,,8041415.247593,3,1.0,1.0,1.0,10,952,98,1.0,150.0,1.0,26.6,0,1,"3,4,5,6,7,8,9,10,11,13,14,15,15,16,17,18,20,21,22,23,24,25,26,27",,2007
20070807070766,0.0,2.0,68.0,,2107489.7628409998,0,1.0,1.0,1.0,0,0,105,0.0,220.0,0.0,33.4,0,0,,,2007
20070807070769,0.0,4.0,59.0,,1506303.646523,0,1.0,1.0,1.0,35,15,180,1.0,150.0,1.0,30.3,0,0,"5,7,7,9",,2007
20070807070773,0.0,5.0,77.0,,5473040.822347,0,1.0,1.0,1.0,5,0,210,0.0,230.0,1.0,27.3,0,0,2,,2007
20070807070781,0.0,4.0,64.0,1.0,4218337.530599,3,,1.0,1.0,930,60,75,1.0,135.0,1.0,23.2,1,0,"2,3,4,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,25",,2007
20070807070784,0.0,4.0,67.0,,1965291.0161610001,0,1.0,1.0,1.0,150,360,60,1.0,145.0,1.0,22.7,0,0,"5,6,6,8,8",,2007
20070807070791,0.0,2.0,64.0,1.0,2053569.587822,0,2.0,3.0,3.0,5,0,165,0.0,142.0,1.0,24.4,0,0,16,,2007
20070807070794,0.0,1.0,67.0,2.0,2061603.869197,0,2.0,1.0,1.0,0,0,150,0.0,174.0,0.0,27.2,0,0,,,2007
20070807070801,0.0,4.0,67.0,,2236751.964537,1,1.0,1.0,3.0,10,20,55,1.0,145.0,1.0,22.7,0,0,"12,15",,2007
20070807070802,0.0,5.0,63.0,,19871687.49624,0,1.0,1.0,1.0,15,0,150,0.0,124.0,1.0,22.0,0,0,3,,2007
20070807070804,0.0,5.0,74.0,,2226655.832006,3,1.0,3.0,3.0,0,0,135,0.0,205.0,0.0,26.3,0,0,,,2007
